Price,,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL,JNJ,JNJ,JNJ,JNJ,JNJ,NKE,NKE,NKE,NKE,NKE
,Date,,,,,,,,,,,,,,,
AAPL,2014-01-02,17.2947338904156,17.336750396463433,17.18082158752494,17.215368270874023,234684800.0,,,,,,,,,,
AAPL,2014-01-03,17.206974973923483,17.233117704876623,16.82010809948616,16.83722686767578,392467600.0,,,,,,,,,,
AAPL,2014-01-06,16.727351149833478,17.018355091218005,16.6075248241974,16.929031372070312,412610800.0,,,,,,,,,,
AAPL,2014-01-07,16.94117093405386,16.992213061344355,16.741980644614284,16.80796241760254,317209200.0,,,,,,,,,,
AAPL,2014-01-08,16.769683856939267,16.979768112419688,16.765950606646058,16.914409637451172,258529600.0,,,,,,,,,,
AAPL,2014-01-09,17.018353367945558,17.020221654481514,16.66198934644905,16.69840431213379,279148800.0,,,,,,,,,,
AAPL,2014-01-10,16.801427332763804,16.831617455288992,16.530030381507558,16.586986541748047,304976000.0,,,,,,,,,,
AAPL,2014-01-13,16.492683325574244,16.88452828716873,16.49174918202572,16.6738224029541,378492800.0,,,,,,,,,,
AAPL,2014-01-14,16.751318233505064,17.016179486905795,16.73388864567004,17.005598068237305,332561600.0,,,,,,,,,,
AAPL,2014-01-15,17.227507263281325,17.43541234325356,17.169616968068077,17.347021102905273,391638800.0,,,,,,,,,,
AAPL,2014-01-16,17.270466876129667,17.331157970827263,17.17024753332856,17.25023651123047,229278000.0,,,,,,,,,,
AAPL,2014-01-17,17.164016178223385,17.18237824664594,16.80360469473185,16.82756996154785,426739600.0,,,,,,,,,,
AAPL,2014-01-21,16.837529281002187,17.120130931105525,16.81978886721577,17.089008331298828,328526800.0,,,,,,,,,,
AAPL,2014-01-22,17.14627295514151,17.34483990169301,17.049790249515215,17.164947509765625,379985200.0,,,,,,,,,,
AAPL,2014-01-23,17.116090360145026,17.320260593868085,16.956426587862858,17.310300827026367,403239200.0,,,,,,,,,,
AAPL,2014-01-24,17.242446236918973,17.292866712279512,16.954553866199788,16.995637893676758,429354800.0,,,,,,,,,,
AAPL,2014-01-27,17.12012649969457,17.267340480873713,16.985673047081512,17.133508682250977,554878800.0,,,,,,,,,,
AAPL,2014-01-28,15.834420307701867,16.028630754405874,15.626202693698925,15.764081954956055,1065523200.0,,,,,,,,,,
AAPL,2014-01-29,15.68471331692496,15.791155800355794,15.518824739340335,15.58511734008789,502810000.0,,,,,,,,,,
AAPL,2014-01-30,15.64083584332592,15.764086317115035,15.459075053584671,15.55493450164795,678501600.0,,,,,,,,,,
AAPL,2014-01-31,15.411764466547563,15.609399031355192,15.361033147614219,15.580453872680664,464797200.0,,,,,,,,,,
AAPL,2014-02-03,15.643007322303687,15.802360217169776,15.539988925328508,15.609393119812012,401464000.0,,,,,,,,,,
AAPL,2014-02-04,15.743847197440479,15.856203708198933,15.647675303305125,15.835350036621094,376681200.0,,,,,,,,,,
AAPL,2014-02-05,15.765946173354749,16.03734310145792,15.756297236157828,15.953620910644531,328344800.0,,,,,,,,,,
AAPL,2014-02-06,15.969902984303344,16.077609666298237,15.899454624203258,16.046611785888672,257765200.0,,,,,,,,,,
AAPL,2014-02-07,16.324326207016544,16.372856321380983,16.19908731008418,16.271099090576172,370280400.0,,,,,,,,,,
AAPL,2014-02-10,16.239171842479582,16.656533055837496,16.218507697692637,16.562602996826172,345559200.0,,,,,,,,,,
AAPL,2014-02-11,16.613321757995053,16.83687337805753,16.578566606842795,16.78083038330078,282256800.0,,,,,,,,,,
AAPL,2014-02-12,16.81182374060022,16.89354222526183,16.695664470430334,16.779573440551758,308100800.0,,,,,,,,,,
AAPL,2014-02-13,16.740123616966827,17.059172016937673,16.725721592538886,17.046022415161133,307398000.0,,,,,,,,,,
AAPL,2014-02-14,16.984649536992798,17.094548343588002,16.94520074134442,17.03223991394043,272924400.0,,,,,,,,,,
AAPL,2014-02-18,17.09517085705784,17.257668030649736,17.082959323216087,17.094858169555664,260251600.0,,,,,,,,,,
AAPL,2014-02-19,17.056047921832086,17.12305172825134,16.73042624423349,16.824981689453125,313768000.0,,,,,,,,,,
AAPL,2014-02-20,16.687839731894552,16.813393038921532,16.562913472388214,16.630229949951172,305858000.0,,,,,,,,,,
AAPL,2014-02-21,16.681569449482176,16.737301405828884,16.425142253754807,16.445493698120117,278784800.0,,,,,,,,,,
AAPL,2014-02-24,16.379749881857343,16.591716997606774,16.35689358473133,16.51751136779785,288909600.0,,,,,,,,,,
AAPL,2014-02-25,16.57480751207936,16.580755265101022,16.312430840126858,16.345619201660156,231952000.0,,,,,,,,,,
AAPL,2014-02-26,16.394142877213532,16.437663289652477,16.143350794405585,16.198143005371094,276217200.0,,,,,,,,,,
AAPL,2014-02-27,16.19157569184181,16.556022318698012,16.15744759300382,16.521268844604492,301882000.0,,,,,,,,,,
AAPL,2014-02-28,16.56541440447076,16.68032292563898,16.347497885201175,16.47649574279785,371968800.0,,,,,,,,,,
AAPL,2014-03-03,16.388200653681547,16.61457144185526,16.369101626930572,16.524085998535156,238781200.0,,,,,,,,,,
AAPL,2014-03-04,16.625526612744146,16.67687425539024,16.524394765183956,16.633039474487305,259140000.0,,,,,,,,,,
AAPL,2014-03-05,16.623026257881648,16.74294112825084,16.566979926272275,16.66811180114746,200062800.0,,,,,,,,,,
AAPL,2014-03-06,16.681568624167394,16.733230623510263,16.534725878883474,16.61769676208496,185488800.0,,,,,,,,,,
AAPL,2014-03-07,16.628343616124624,16.656209593638145,16.470541754144065,16.60799217224121,220729600.0,,,,,,,,,,
AAPL,2014-03-10,16.542868722155635,16.698478434992285,16.542241674925176,16.623022079467773,178584000.0,,,,,,,,,,
AAPL,2014-03-11,16.76486356998216,16.867871596505573,16.675316164102448,16.784900665283203,279224400.0,,,,,,,,,,
